tick,unique-id,state,infection-start,infector-id,num-infected,masked
1,S,-1,-1,0,false,0
0,S,-1,-1,0,false,0
3,S,-1,-1,0,false,0
6,IA,0,-1,2,false,0
8,S,-1,-1,0,false,0
2,S,-1,-1,0,false,0
4,S,-1,-1,0,false,0
9,S,-1,-1,0,false,0
7,S,-1,-1,0,false,0
5,IS,0,6,0,false,0
1,S,-1,-1,0,false,1
0,S,-1,-1,0,false,1
3,S,-1,-1,0,false,1
6,IA,0,-1,2,false,1
8,S,-1,-1,0,false,1
2,S,-1,-1,0,false,1
4,S,-1,-1,0,false,1
9,S,-1,-1,0,false,1
7,S,-1,-1,0,false,1
5,R,0,6,0,false,1
1,S,-1,-1,0,false,2
0,S,-1,-1,0,false,2
3,S,-1,-1,0,false,2
6,IA,0,-1,2,false,2
8,S,-1,-1,0,false,2
2,S,-1,-1,0,false,2
4,S,-1,-1,0,false,2
9,S,-1,-1,0,false,2
7,S,-1,-1,0,false,2
5,R,0,6,0,false,2
1,S,-1,-1,0,false,3
0,S,-1,-1,0,false,3
3,S,-1,-1,0,false,3
6,R,0,-1,2,false,3
8,S,-1,-1,0,false,3
2,S,-1,-1,0,false,3
4,S,-1,-1,0,false,3
9,S,-1,-1,0,false,3
7,S,-1,-1,0,false,3
5,R,0,6,0,false,3
END
