run_id, tick, unique_id, state, infection_start, infector_id, num_infected, masked
0,0,3,S,-1,-1,0,false
0,0,2,S,-1,-1,0,false
0,0,7,IS,0,4,0,false
0,0,4,IS,0,-1,2,false
0,0,9,S,-1,-1,0,false
0,0,6,S,-1,-1,0,false
0,0,8,S,-1,-1,0,false
0,0,0,S,-1,-1,0,false
0,0,5,S,-1,-1,0,false
0,0,1,S,-1,-1,0,false
0,1,3,S,-1,-1,0,false
0,1,2,S,-1,-1,0,false
0,1,7,IS,0,4,2,false
0,1,4,IS,0,-1,2,false
0,1,9,S,-1,-1,0,false
0,1,6,S,-1,-1,0,false
0,1,8,S,-1,-1,0,false
0,1,0,S,-1,-1,0,false
0,1,5,IS,1,7,0,false
0,1,1,S,-1,-1,0,false
0,2,3,S,-1,-1,0,false
0,2,2,IS,2,5,2,false
0,2,7,IS,0,4,2,false
0,2,4,R,0,-1,2,false
0,2,9,S,-1,-1,0,false
0,2,6,IS,2,2,0,false
0,2,8,IS,2,0,0,false
0,2,0,IS,2,5,2,false
0,2,5,IS,1,7,4,false
0,2,1,S,-1,-1,0,false
0,3,3,S,-1,-1,0,false
0,3,2,IS,2,5,2,false
0,3,7,IS,0,4,2,false
0,3,4,R,0,-1,2,false
0,3,9,IA,3,5,0,false
0,3,6,IS,2,2,0,false
0,3,8,IS,2,0,0,false
0,3,0,IS,2,5,2,false
0,3,5,IS,1,7,6,false
0,3,1,S,-1,-1,0,false
0,4,3,IA,4,2,0,false
0,4,2,IS,2,5,4,false
0,4,7,IS,0,4,2,false
0,4,4,R,0,-1,2,false
0,4,9,IA,3,5,0,false
0,4,6,IS,2,2,0,false
0,4,8,IS,2,0,0,false
0,4,0,IS,2,5,2,false
0,4,5,IS,1,7,6,false
0,4,1,S,-1,-1,0,false
0,5,3,IA,4,2,0,false
0,5,2,IS,2,5,4,false
0,5,7,IS,0,4,2,false
0,5,4,R,0,-1,2,false
0,5,9,IA,3,5,0,false
0,5,6,IS,2,2,0,false
0,5,8,IS,2,0,0,false
0,5,0,IS,2,5,2,false
0,5,5,IS,1,7,6,false
0,5,1,S,-1,-1,0,false
0,6,3,IA,4,2,0,false
0,6,2,IS,2,5,4,false
0,6,7,IS,0,4,2,false
0,6,4,R,0,-1,2,false
0,6,9,IA,3,5,0,false
0,6,6,IS,2,2,0,false
0,6,8,IS,2,0,0,false
0,6,0,IS,2,5,2,false
0,6,5,R,1,7,6,false
0,6,1,S,-1,-1,0,false
0,7,3,IA,4,2,0,false
0,7,2,IS,2,5,4,false
0,7,7,IS,0,4,2,false
0,7,4,R,0,-1,2,false
0,7,9,IA,3,5,0,false
0,7,6,IS,2,2,0,false
0,7,8,IS,2,0,0,false
0,7,0,IS,2,5,2,false
0,7,5,R,1,7,6,false
0,7,1,S,-1,-1,0,false
0,8,3,R,4,2,0,false
0,8,2,IS,2,5,4,false
0,8,7,IS,0,4,2,false
0,8,4,R,0,-1,2,false
0,8,9,IA,3,5,0,false
0,8,6,IS,2,2,0,false
0,8,8,IS,2,0,0,false
0,8,0,IS,2,5,2,false
0,8,5,R,1,7,6,false
0,8,1,S,-1,-1,0,false
0,9,3,R,4,2,0,false
0,9,2,IS,2,5,4,false
0,9,7,IS,0,4,2,false
0,9,4,R,0,-1,2,false
0,9,9,IA,3,5,0,false
0,9,6,IS,2,2,2,false
0,9,8,IS,2,0,0,false
0,9,0,IS,2,5,2,false
0,9,5,R,1,7,6,false
0,9,1,IA,9,6,0,false
0,10,3,R,4,2,0,false
0,10,2,IS,2,5,4,false
0,10,7,IS,0,4,2,false
0,10,4,R,0,-1,2,false
0,10,9,IA,3,5,0,false
0,10,6,IS,2,2,2,false
0,10,8,IS,2,0,0,true
0,10,0,IS,2,5,2,false
0,10,5,R,1,7,6,false
0,10,1,IA,9,6,0,false
0,11,3,R,4,2,0,false
0,11,2,R,2,5,4,false
0,11,7,IS,0,4,2,false
0,11,4,R,0,-1,2,false
0,11,9,IA,3,5,0,false
0,11,6,IS,2,2,2,false
0,11,8,IS,2,0,0,false
0,11,0,IS,2,5,2,false
0,11,5,R,1,7,6,false
0,11,1,R,9,6,0,false
0,12,3,R,4,2,0,false
0,12,2,R,2,5,4,false
0,12,7,IS,0,4,2,false
0,12,4,R,0,-1,2,false
0,12,9,IA,3,5,0,false
0,12,6,IS,2,2,2,false
0,12,8,IS,2,0,0,false
0,12,0,IS,2,5,2,false
0,12,5,R,1,7,6,false
0,12,1,R,9,6,0,false
0,13,3,R,4,2,0,false
0,13,2,R,2,5,4,false
0,13,7,IS,0,4,2,false
0,13,4,R,0,-1,2,true
0,13,9,IA,3,5,0,false
0,13,6,IS,2,2,2,false
0,13,8,IS,2,0,0,false
0,13,0,R,2,5,2,false
0,13,5,R,1,7,6,false
0,13,1,R,9,6,0,false
0,14,3,R,4,2,0,false
0,14,2,R,2,5,4,true
0,14,7,IS,0,4,2,false
0,14,4,R,0,-1,2,true
0,14,9,IA,3,5,0,false
0,14,6,IS,2,2,2,false
0,14,8,IS,2,0,0,false
0,14,0,R,2,5,2,false
0,14,5,R,1,7,6,false
0,14,1,R,9,6,0,true
0,15,3,R,4,2,0,false
0,15,2,R,2,5,4,false
0,15,7,IS,0,4,2,false
0,15,4,R,0,-1,2,true
0,15,9,IA,3,5,0,false
0,15,6,R,2,2,2,false
0,15,8,IS,2,0,0,true
0,15,0,R,2,5,2,false
0,15,5,R,1,7,6,false
0,15,1,R,9,6,0,false
0,16,3,R,4,2,0,false
0,16,2,R,2,5,4,true
0,16,7,IS,0,4,2,false
0,16,4,R,0,-1,2,false
0,16,9,IA,3,5,0,false
0,16,6,R,2,2,2,false
0,16,8,IS,2,0,0,false
0,16,0,R,2,5,2,false
0,16,5,R,1,7,6,false
0,16,1,R,9,6,0,false
0,17,3,R,4,2,0,false
0,17,2,R,2,5,4,true
0,17,7,IS,0,4,2,false
0,17,4,R,0,-1,2,false
0,17,9,IA,3,5,0,false
0,17,6,R,2,2,2,false
0,17,8,IS,2,0,0,false
0,17,0,R,2,5,2,false
0,17,5,R,1,7,6,false
0,17,1,R,9,6,0,true
0,18,3,R,4,2,0,false
0,18,2,R,2,5,4,false
0,18,7,IS,0,4,2,false
0,18,4,R,0,-1,2,false
0,18,9,IA,3,5,0,false
0,18,6,R,2,2,2,false
0,18,8,R,2,0,0,false
0,18,0,R,2,5,2,false
0,18,5,R,1,7,6,false
0,18,1,R,9,6,0,false
0,19,3,R,4,2,0,false
0,19,2,R,2,5,4,false
0,19,7,IS,0,4,2,false
0,19,4,R,0,-1,2,false
0,19,9,IA,3,5,0,false
0,19,6,R,2,2,2,false
0,19,8,R,2,0,0,false
0,19,0,R,2,5,2,false
0,19,5,R,1,7,6,false
0,19,1,R,9,6,0,false
0,20,3,R,4,2,0,false
0,20,2,R,2,5,4,false
0,20,7,IS,0,4,2,false
0,20,4,R,0,-1,2,false
0,20,9,IA,3,5,0,false
0,20,6,R,2,2,2,false
0,20,8,R,2,0,0,false
0,20,0,R,2,5,2,false
0,20,5,R,1,7,6,false
0,20,1,R,9,6,0,false
0,21,3,R,4,2,0,false
0,21,2,R,2,5,4,false
0,21,7,IS,0,4,2,false
0,21,4,R,0,-1,2,false
0,21,9,IA,3,5,0,false
0,21,6,R,2,2,2,false
0,21,8,R,2,0,0,false
0,21,0,R,2,5,2,false
0,21,5,R,1,7,6,false
0,21,1,R,9,6,0,false
0,22,3,R,4,2,0,false
0,22,2,R,2,5,4,true
0,22,7,IS,0,4,2,false
0,22,4,R,0,-1,2,false
0,22,9,IA,3,5,0,false
0,22,6,R,2,2,2,false
0,22,8,R,2,0,0,false
0,22,0,R,2,5,2,false
0,22,5,R,1,7,6,false
0,22,1,R,9,6,0,true
0,23,3,R,4,2,0,false
0,23,2,R,2,5,4,false
0,23,7,IS,0,4,2,false
0,23,4,R,0,-1,2,false
0,23,9,IA,3,5,0,false
0,23,6,R,2,2,2,false
