unique-id,state,infection-start,infector-id,num-infected
111,R,36,5,0
10,R,41,51,1
184,R,38,96,1
142,R,17,190,2
18,R,19,79,0
173,R,36,90,0
151,R,25,176,0
130,R,37,75,0
2,R,13,164,1
185,R,7,116,2
160,R,58,124,0
7,R,17,164,4
76,R,18,169,2
21,R,21,50,0
122,R,31,191,0
199,R,31,191,1
110,R,55,65,1
169,R,0,169,7
65,R,38,37,1
48,R,32,67,0
88,R,58,99,0
96,R,32,199,1
6,R,48,113,0
187,R,29,100,0
63,R,52,89,1
84,R,64,90,0
16,R,34,190,1
124,R,14,132,3
166,R,30,174,0
171,R,25,73,0
62,R,35,108,2
115,R,41,113,0
157,R,5,177,3
125,R,52,98,0
103,R,26,80,3
15,R,11,185,0
80,R,7,19,3
0,R,15,164,0
112,R,34,27,1
67,R,25,8,2
182,R,32,132,0
116,R,0,116,4
135,R,34,190,0
100,R,17,26,3
68,R,32,134,1
98,R,42,179,1
129,R,34,150,3
64,R,35,22,0
140,R,29,4,0
177,R,4,116,4
85,R,49,20,1
120,R,35,150,0
162,R,39,161,1
4,R,24,80,2
59,R,24,49,0
3,R,14,155,2
158,R,29,169,1
107,R,33,134,0
78,R,27,69,1
60,R,29,57,1
163,R,43,68,0
53,R,19,79,1
137,R,27,7,0
79,R,18,193,3
146,R,41,26,0
133,R,53,63,0
14,R,8,157,2
11,R,27,144,1
33,R,7,19,0
148,R,28,13,0
23,R,40,62,0
74,R,41,170,0
101,R,21,198,0
12,R,26,83,1
94,R,37,43,0
191,R,30,177,2
154,R,25,164,1
69,R,26,154,1
198,R,18,177,2
175,R,34,193,2
20,R,48,162,4
189,R,27,12,0
44,R,36,5,0
29,R,41,95,0
123,R,40,184,1
121,R,24,19,0
31,R,13,40,1
50,R,13,185,1
61,R,22,76,0
1,R,17,116,0
70,R,45,10,1
8,R,24,7,1
5,R,34,142,2
108,R,33,67,2
127,R,31,60,0
87,R,50,178,0
39,R,42,3,0
37,R,20,169,3
28,R,49,51,0
86,R,33,78,0
26,R,12,169,3
45,R,56,193,0
73,R,7,157,4
138,R,47,24,0
134,R,31,56,2
193,R,0,193,6
32,R,31,178,0
190,R,15,2,6
47,R,43,89,0
71,R,26,4,0
176,R,21,190,1
174,R,29,150,1
92,R,32,142,0
35,R,29,143,0
27,R,27,103,3
183,R,19,157,0
75,R,36,175,1
57,R,22,198,2
126,R,35,108,2
25,R,36,126,0
43,R,36,37,2
194,R,39,128,0
97,R,9,73,0
155,R,10,193,1
56,R,30,73,1
150,R,28,190,3
141,R,49,102,0
77,R,24,19,0
49,R,17,3,1
52,R,23,145,0
186,R,50,20,1
17,R,25,124,0
156,R,22,7,2
117,R,33,158,0
196,R,33,83,0
55,R,19,193,0
147,R,35,159,0
40,R,0,40,4
114,R,38,129,0
34,R,23,7,0
104,R,57,110,0
89,R,41,169,3
9,R,59,85,0
95,R,36,126,1
54,R,21,73,0
51,R,31,193,2
159,R,30,132,2
19,R,5,40,6
93,R,36,16,0
161,R,36,175,2
119,R,37,27,1
188,R,20,100,0
181,R,29,31,0
13,R,19,79,1
139,R,51,20,0
178,R,28,57,2
180,R,32,103,0
105,R,19,26,0
192,R,35,129,0
99,R,54,123,1
197,R,37,156,0
91,R,42,89,0
195,R,54,113,0
41,R,18,19,0
81,R,24,156,0
131,R,50,20,0
128,R,24,14,1
118,R,62,124,0
168,R,0,168,0
132,R,1,40,5
113,R,32,169,3
106,R,46,43,0
30,R,47,102,0
144,R,23,169,1
153,R,36,27,0
90,R,22,177,2
170,R,40,119,1
172,R,25,14,1
143,R,22,132,1
164,R,11,40,4
109,R,29,172,0
179,R,29,53,1
82,R,26,190,0
46,R,51,186,0
167,R,56,129,0
72,R,41,161,0
42,R,34,37,0
38,R,7,19,0
102,R,44,62,2
36,R,55,70,0
136,R,33,159,0
66,R,21,100,0
149,R,35,112,0
22,R,28,11,1
152,R,29,76,0
165,R,29,103,0
83,R,24,80,2
145,R,21,116,1
58,R,33,132,1
24,R,41,58,1

R0:,40
