unique-id,state,infection-start,infector-id,num-infected
52,R,40,173,0
13,R,44,121,0
50,R,41,173,1
152,R,39,169,0
47,R,33,59,2
145,R,20,81,0
151,R,53,89,0
138,R,12,112,2
65,R,17,186,0
76,R,42,50,1
157,R,26,5,0
180,R,51,23,1
177,R,41,17,0
93,R,18,176,0
134,R,4,90,5
45,R,14,186,1
2,R,14,176,0
113,R,22,45,0
28,R,57,63,0
61,R,34,96,1
106,R,14,162,2
92,R,56,197,1
90,R,3,5,8
101,R,35,23,0
77,R,13,70,0
25,R,24,70,3
166,R,55,121,0
64,R,13,46,0
21,R,17,67,2
89,R,52,8,1
109,R,5,20,0
19,R,8,124,0
110,R,21,70,0
183,R,29,14,0
124,R,7,144,4
194,R,30,81,0
148,R,30,98,1
126,R,16,106,0
137,R,34,169,2
5,R,0,5,2
104,R,45,83,1
49,R,16,135,0
144,R,5,96,3
116,R,42,61,0
10,R,43,141,1
72,R,47,137,0
67,R,16,106,1
100,R,25,179,2
58,R,25,164,0
125,R,33,181,0
141,R,32,179,4
44,R,60,43,0
130,R,18,131,0
176,R,12,139,2
193,R,46,42,0
128,R,25,164,0
86,R,66,8,0
8,R,41,121,3
94,R,20,161,0
107,R,58,12,0
23,R,32,169,4
198,R,24,134,0
156,R,32,160,0
173,R,38,141,2
38,R,49,118,0
63,R,54,10,3
87,R,47,182,2
182,R,45,7,1
31,R,13,62,2
68,R,19,33,0
75,R,9,20,3
66,R,62,9,0
114,R,46,46,0
17,R,19,11,2
118,R,45,8,2
91,R,57,123,0
98,R,28,169,1
115,R,8,139,0
158,R,2,37,1
29,R,59,43,0
7,R,36,90,2
71,R,57,22,0
154,R,23,108,2
40,R,27,162,0
0,R,20,43,0
35,R,0,35,2
175,R,53,159,0
174,R,30,25,1
15,R,58,76,0
3,R,20,199,0
136,R,55,36,0
143,R,0,143,4
121,R,10,96,5
42,R,35,90,2
195,R,27,154,1
81,R,7,178,3
139,R,0,139,3
57,R,2,143,1
102,R,49,165,0
56,R,42,83,0
96,R,1,35,5
41,R,4,96,0
97,R,59,197,0
9,R,61,92,1
140,R,16,134,0
146,R,53,32,0
26,R,53,17,0
188,R,21,62,1
117,R,49,23,0
132,R,22,90,0
1,R,7,144,1
108,R,20,75,2
150,R,52,180,0
103,R,1,161,0
147,R,48,148,0
167,R,55,104,0
62,R,12,33,2
37,R,0,37,1
189,R,18,21,0
149,R,31,100,0
27,R,26,169,0
111,R,37,121,0
155,R,18,186,0
192,R,58,165,0
12,R,43,134,2
129,R,14,131,0
131,R,2,143,3
59,R,23,57,2
159,R,48,119,1
164,R,13,158,2
190,R,51,12,0
20,R,4,131,2
163,R,39,42,0
82,R,15,139,0
79,R,24,11,0
178,R,3,161,1
80,R,60,197,0
18,R,49,100,0
99,R,21,35,0
122,R,23,70,0
172,R,44,141,1
43,R,13,185,5
46,R,10,39,2
165,R,47,118,2
48,R,19,90,0
53,R,29,43,0
112,R,3,161,1
6,R,59,121,0
74,R,64,133,0
33,R,8,90,2
39,R,8,124,1
4,R,24,154,0
84,R,64,7,0
170,R,44,141,1
120,R,23,188,0
69,R,11,144,0
123,R,49,87,1
186,R,13,88,3
55,R,25,59,0
161,R,0,143,4
197,R,55,87,3
169,R,25,134,5
11,R,16,88,2
32,R,45,172,1
30,R,26,21,0
160,R,28,134,1
70,R,11,75,5
83,R,41,31,2
187,R,43,195,0
22,R,53,170,1
135,R,8,124,1
181,R,18,31,1
171,R,17,162,1
133,R,53,43,1
54,R,55,137,0
95,R,24,88,0
196,R,7,90,0
36,R,43,168,1
105,R,41,138,0
88,R,12,81,3
162,R,13,138,3
119,R,41,47,1
153,R,29,75,0
85,R,68,63,0
191,R,56,47,0
199,R,17,143,1
78,R,25,25,0
179,R,22,171,2
184,R,63,63,0
142,R,52,23,0
73,R,10,1,0
127,R,29,25,0
168,R,31,174,1
60,R,14,70,0
51,R,6,90,1
185,R,11,51,1
14,R,10,16,1
34,R,36,96,0
24,R,39,108,0
16,R,8,124,1

R0:,40
