unique-id,state,infection-start,infector-id,num-infected,masked
131,R,17,80,0,false
37,R,20,8,0,false
66,R,13,85,1,false
114,R,21,110,0,false
14,R,12,33,0,false
56,R,9,94,5,false
150,R,14,66,1,false
60,R,18,103,0,false
161,R,14,33,1,false
118,R,9,171,0,false
120,R,0,120,1,false
57,R,15,192,0,false
53,R,8,132,0,false
47,R,11,56,1,false
140,R,18,72,0,false
16,R,18,173,2,false
55,R,11,86,0,true
35,R,20,195,0,false
25,R,13,94,2,false
122,R,2,120,1,false
31,R,15,6,1,false
187,R,3,171,4,false
125,R,21,56,0,false
174,R,13,180,1,false
165,R,3,6,3,false
111,R,6,40,1,false
142,R,14,167,0,false
4,R,8,151,0,false
197,R,17,183,0,false
44,R,17,65,0,false
147,R,11,33,5,false
180,R,5,116,3,false
40,R,4,48,3,false
69,R,16,65,0,false
182,R,16,13,0,false
59,R,15,2,0,false
98,R,15,180,0,true
6,R,3,34,3,false
173,R,17,81,1,false
97,R,5,63,1,false
191,R,19,67,0,false
24,R,0,160,2,false
52,R,1,1,2,false
105,R,16,147,0,false
63,R,2,135,1,false
43,R,18,80,1,false
159,R,19,65,0,false
107,R,19,199,0,false
12,R,16,56,0,false
190,R,9,101,2,false
148,R,9,101,0,false
141,R,2,52,3,false
0,R,20,196,1,false
106,R,15,147,1,false
183,R,16,113,1,false
127,R,17,106,1,false
70,R,12,83,0,false
188,R,27,162,0,false
128,R,10,95,0,false
64,R,9,157,0,false
198,R,13,190,2,false
30,R,16,65,1,false
84,R,8,97,1,false
76,R,15,147,1,false
168,R,13,124,0,false
82,R,4,95,3,false
185,R,18,150,0,false
72,R,9,180,1,false
1,R,0,95,1,false
15,R,17,94,0,false
83,R,9,164,2,false
2,R,11,24,1,false
162,R,10,101,1,false
58,R,18,152,0,false
152,R,16,133,1,false
48,R,1,24,3,false
137,R,24,18,0,false
176,R,1,48,0,false
119,R,14,36,1,false
153,R,4,122,2,false
177,R,13,40,1,false
145,R,19,38,0,false
88,R,12,92,0,false
68,R,11,82,0,false
164,R,7,11,2,false
155,R,25,149,0,false
29,R,19,121,0,false
46,R,8,151,1,false
195,R,17,123,1,false
94,R,4,171,5,false
17,R,0,17,0,false
163,R,12,5,0,false
112,R,13,85,3,false
167,R,14,169,1,false
113,R,10,172,2,false
129,R,14,177,0,false
5,R,6,116,2,false
134,R,18,187,1,false
132,R,5,94,2,false
51,R,17,56,0,false
67,R,16,132,1,false
85,R,12,92,3,false
102,R,10,82,0,false
169,R,9,10,2,false
93,R,10,169,0,false
77,R,17,103,0,false
192,R,14,187,1,false
41,R,23,65,0,false
10,R,5,153,1,false
80,R,10,38,3,false
3,R,6,171,0,false
28,R,13,46,0,false
87,R,6,141,0,false
126,R,13,50,0,false
149,R,22,121,1,false
108,R,9,83,1,false
7,R,17,112,0,false
117,R,15,161,0,false
22,R,7,82,1,false
21,R,20,47,0,false
109,R,4,6,0,false
62,R,19,110,1,false
32,R,23,62,0,false
8,R,18,56,1,false
115,R,13,108,0,false
103,R,15,147,3,false
18,R,15,80,2,false
99,R,17,85,0,false
179,R,8,151,1,false
160,R,0,160,1,false
104,R,19,16,0,false
138,R,15,112,0,false
170,R,12,154,0,false
95,R,0,95,5,false
146,R,11,34,0,false
79,R,18,134,0,false
130,R,19,13,0,false
49,R,21,112,0,true
156,R,20,16,0,false
26,R,13,113,2,false
33,R,9,38,3,false
36,R,9,172,2,false
178,R,23,119,0,false
91,R,15,13,0,false
61,R,17,198,0,false
116,R,1,171,2,false
23,R,24,25,0,false
157,R,9,20,1,false
110,R,19,81,2,false
92,R,11,86,2,false
74,R,11,38,0,true
39,R,14,5,0,false
42,R,3,141,0,false
100,R,14,165,0,false
101,R,5,153,3,false
171,R,0,171,6,false
13,R,12,147,3,false
144,R,7,124,0,false
9,R,18,76,0,false
34,R,2,78,2,false
96,R,13,95,1,false
184,R,23,18,0,false
193,R,14,96,0,false
135,R,2,141,2,false
151,R,2,48,4,false
19,R,11,84,0,false
20,R,8,124,1,false
186,R,10,36,2,false
124,R,4,165,3,false
89,R,16,174,0,false
154,R,3,151,1,false
181,R,17,186,1,false
158,R,18,187,0,false
86,R,11,187,2,false
196,R,12,190,1,false
133,R,14,26,1,false
172,R,6,40,2,false
123,R,15,198,1,false
194,R,16,31,0,false
11,R,3,135,1,false
27,R,13,71,0,false
75,R,21,43,0,false
199,R,16,171,1,false
73,R,22,165,0,false
166,R,21,127,0,false
45,R,19,181,0,false
90,R,8,111,0,false
189,R,17,25,0,false
78,R,2,95,1,false
54,R,17,30,0,false
175,R,23,0,0,false
81,R,17,26,2,false
38,R,5,52,4,false
121,R,17,103,2,false
50,R,12,186,2,false
71,R,12,179,1,false
136,R,13,50,0,false
143,R,12,22,0,false
65,R,10,94,5,false
139,R,8,164,0,false

R0:,40
