tick,unique-id,state,infection-start,infector-id,num-infected,masked
64,S,-1,-1,0,false,0
77,I,0,165,0,false,0
79,S,-1,-1,0,false,0
181,S,-1,-1,0,false,0
163,S,-1,-1,0,false,0
192,S,-1,-1,0,false,0
98,S,-1,-1,0,false,0
145,S,-1,-1,0,false,0
27,S,-1,-1,0,false,0
60,S,-1,-1,0,false,0
4,S,-1,-1,0,false,0
92,S,-1,-1,0,false,0
177,S,-1,-1,0,false,0
61,S,-1,-1,0,false,0
43,S,-1,-1,0,false,0
93,S,-1,-1,0,false,0
56,S,-1,-1,0,false,0
186,S,-1,-1,0,false,0
107,S,-1,-1,0,true,0
140,S,-1,-1,0,false,0
14,S,-1,-1,0,false,0
81,S,-1,-1,0,false,0
125,S,-1,-1,0,false,0
8,S,-1,-1,0,true,0
17,S,-1,-1,0,false,0
88,S,-1,-1,0,false,0
166,S,-1,-1,0,false,0
180,S,-1,-1,0,false,0
9,S,-1,-1,0,false,0
59,S,-1,-1,0,false,0
18,S,-1,-1,0,false,0
176,S,-1,-1,0,false,0
168,S,-1,-1,0,false,0
104,S,-1,-1,0,false,0
172,I,0,172,1,false,0
151,S,-1,-1,0,false,0
53,S,-1,-1,0,false,0
48,S,-1,-1,0,false,0
83,S,-1,-1,0,false,0
153,S,-1,-1,0,false,0
89,S,-1,-1,0,false,0
175,S,-1,-1,0,false,0
94,S,-1,-1,0,false,0
34,S,-1,-1,0,true,0
191,S,-1,-1,0,false,0
169,S,-1,-1,0,false,0
62,S,-1,-1,0,false,0
2,S,-1,-1,0,false,0
142,S,-1,-1,0,false,0
58,S,-1,-1,0,false,0
122,S,-1,-1,0,false,0
123,S,-1,-1,0,false,0
129,S,-1,-1,0,false,0
63,S,-1,-1,0,false,0
3,S,-1,-1,0,false,0
12,S,-1,-1,0,false,0
54,S,-1,-1,0,false,0
47,S,-1,-1,0,false,0
6,S,-1,-1,0,false,0
22,S,-1,-1,0,false,0
0,S,-1,-1,0,false,0
110,S,-1,-1,0,false,0
76,S,-1,-1,0,true,0
184,S,-1,-1,0,true,0
128,S,-1,-1,0,false,0
39,S,-1,-1,0,true,0
19,S,-1,-1,0,false,0
67,S,-1,-1,0,false,0
117,S,-1,-1,0,false,0
20,S,-1,-1,0,false,0
95,S,-1,-1,0,false,0
111,S,-1,-1,0,true,0
152,S,-1,-1,0,false,0
74,S,-1,-1,0,false,0
40,S,-1,-1,0,false,0
131,S,-1,-1,0,false,0
199,S,-1,-1,0,false,0
115,S,-1,-1,0,false,0
32,S,-1,-1,0,false,0
45,S,-1,-1,0,false,0
13,S,-1,-1,0,false,0
190,S,-1,-1,0,false,0
198,S,-1,-1,0,false,0
1,S,-1,-1,0,true,0
141,S,-1,-1,0,false,0
171,S,-1,-1,0,false,0
139,S,-1,-1,0,false,0
66,I,0,174,0,false,0
135,S,-1,-1,0,false,0
37,S,-1,-1,0,false,0
10,S,-1,-1,0,false,0
193,S,-1,-1,0,false,0
160,S,-1,-1,0,false,0
134,S,-1,-1,0,false,0
164,S,-1,-1,0,false,0
126,S,-1,-1,0,false,0
